LRP No,Road Chainage,LRP TYPE,Description,Latitude Decimal,Longitued Decimal,road_number
LRP007,6.33,Km Post,"Gopalgonj 32 km, khulna 87 km",23.2135833,89.9692493,R850
LRP007a,6.612,Culvert,Regulatar,23.2108611,89.9679993,R850
LRP008,7.33,Km Post,"Gopalgonj 31 km, khulna 86 km",23.2053889,89.9640278,R850
LRP009,8.34,Km Post,"Gopalgonj 30 km, Khulna 85 km",23.197083,89.9601944,R850
LRP010,9.34,Km Post,"Gopalgonj 29 km, Khulna 84 km",23.188833,89.95625,R850
LRP010a,9.408,Culvert,Pipe Culvert,23.1883052,89.9558889,R850
LRP010b,10.29,Culvert,Box Culvert,23.1813604,89.9521111,R850
LRP011,10.35,Km Post,"Gopalgonj 28 km, Khulna 83 km",23.1808882,89.9516944,R850
LRP012,11.35,Km Post,Km post missing,23.1732493,89.9471663,R850
LRP013,12.35,Km Post,"Gopalgonj 26 km, khulna 81 km",23.1647778,89.9428886,R850
LRP013a,12.518,Culvert,Regulatar,23.1636111,89.9422497,R850
LRP013b,13.245,Culvert,Regulatar,23.1581389,89.9384441,R850
LRP014,13.35,Km Post,"Gopalgonj 25 km, khulna 80 km",23.1571389,89.938083,R850
LRP015,14.35,Km Post,"Gopalgonj 24 km, Khulna 79 km",23.151,89.9317216,R850
LRP016,15.35,Km Post,"Gopalgonj 23 km, Khulna 78 km",23.1439441,89.9256938,R850
LRP017,16.35,Km Post,Km post missing,23.1364997,89.9207493,R850
LRP017a,16.669,"Side Road, Right",Right Z 8419,23.1351663,89.9178604,R850
LRP018,17.35,Km Post,"Gopalgonj 21 km, Khulna 76 km",23.1305827,89.9133889,R850
LRP019,18.35,Km Post,"Gopalgonj 20 km, Khulna 75 km",23.1238327,89.9068889,R850
LRP019a,19.028,Culvert,Regulator,23.1190827,89.9038333,R850
LRP019b,19.07,"Side Road, Left",Left Z8412,23.1188327,89.9033333,R850
LRP020,19.35,Km Post,"Gopalgonj 19 km, Khulna 74 km",23.1170549,89.9013333,R850
LRP021,20.35,Km Post,"Gopalgonj 18 km, Khulna 73 km",23.1109722,89.8936663,R850
LRP022,21.35,Km Post,"Gopalgonj 17 km, khulna 72 km",23.1040278,89.8880274,R850
LRP022a,22.124,Culvert,Ragulatar,23.0980552,89.8847219,R850
LRP023,22.35,Km Post,Km post missing,23.0972774,89.884083,R850
LRP024,23.35,Km Post,"Gopalgonj 15 km, Khulna 70 km",23.0921386,89.8747216,R850
LRP025,24.35,Km Post,km post missing,23.0859163,89.8678049,R850
LRP026,25.35,Km Post,"Gopalgonj 13 km, Khulna 68 km",23.079916,89.8605833,R850
LRP027,26.35,Km Post,"Gopalgonj 12 km, Khulna 67 km",23.0735549,89.8536389,R850
LRP028,27.35,Km Post,"Gopalgonj 11 km, Khulna 66 km",23.0691104,89.8460274,R850
LRP028a,28.28,Bridge,Start of Bridge,23.0637778,89.8395552,R850
LRP028b,28.293,Bridge,End of Bridge,23.0637222,89.8394163,R850
LRP029,28.35,Km Post,"Gopalgonj 10 km, Khulna 65 km",23.0633056,89.8388608,R850
LRP030,29.35,Km Post,"Gopalgonj 9 km, Khulna 64 km",23.059,89.8307493,R850
LRP031,30.34,Km Post,"Gopalgonj 8 km, Khulna 63 km",23.0557778,89.8218604,R850
LRP032,31.34,Km Post,Km post missing,23.048833,89.8160833,R850
LRP033,32.34,Km Post,"Gopalgonj 6 km, Khulna 61 km",23.0406663,89.818416,R850
LRP034,33.34,Km Post,Km post missing,23.0317216,89.8189993,R850
LRP034a,33.42,"Turn off, Left",Turn off Left,23.0313049,89.8188604,R850
LRP034b,33.93,Culvert,Box Culvert,23.0298604,89.8236104,R850
LRP035,34.35,Km Post,"Gopalgonj 4 km, Khulna 59 km",23.0287216,89.8275549,R850
LRP035a,34.508,Cross Road,N805 to Bhanga,23.0278327,89.8287216,R850
LRP035b,35.09,"Side Road, Left",N805 to Mollarhat,23.0263327,89.8349163,R850
LRP036,35.3,Km Post,"Gopalgonj 3 km, Khulna 58 km",23.0245271,89.8344163,R850
LRP036a,36.005,Bridge,Start of Bridge,23.0163889,89.8353886,R850
LRP036b,36.018,Bridge,End of Bridge,23.0163889,89.8353886,R850
LRP037,36.32,Km Post,"Gopalgonj 2 km, Khulna 57 km",23.0163333,89.835333,R850
LRP037a,36.36,"Side Road, Left",Left Z8031,23.0161944,89.8352774,R850
LRP037b,36.59,Culvert,Box Culvert,23.0146111,89.8335552,R850
LRP038,37.32,Km Post,Km post missing,23.00975,89.8292493,R850
LRP039,37.88,Km Post,"Khulna 55 km, Tungipara 19 km",23.0057222,89.8264716,R850
LRP039a,38.46,"Side Road, Left",Left Z8408,23.0023333,89.8223327,R850
LRP040,39.34,Km Post,Tungipara 18 km,22.9974719,89.8153611,R850
LRP040a,39.402,"Turn off, Left",Z8414 to Chapail,22.9971386,89.8151944,R850
LRP040b,40.105,Culvert,Box Culvert,22.9907497,89.8146667,R850
LRP041,40.35,Km Post,"Tungipara 17 km, Khulna 53 km",22.9885274,89.8139444,R850
LRP041a,40.98,Culvert,Box Culvert,22.9837774,89.8114722,R850
LRP042,41.38,Km Post,"Tungipara 16 km, Khulna 52 km",22.9808604,89.80925,R850
LRP043,42.39,Km Post,"Tungipara 15 km, Pirojpur 53 km",22.9723882,89.8124444,R850
LRP043a,43.17,Culvert,Box Culvert,22.9660833,89.8154167,R850
LRP044,43.4,Km Post,"Tungipara 14 km, Khulna 50 km",22.9641111,89.8163889,R850
LRP044a,44.27,Culvert,Box Culvert,22.957,89.8198882,R850
LRP045,44.4,Km Post,"Tungipara 13 km, Pirojpur 51 km",22.9558611,89.8205271,R850
LRP045a,44.453,Culvert,Box Culvert,22.9553889,89.820666,R850
LRPE,44.83,Others,End of road at Mollahhat and Intersection with Z7704 and N805,22.9526389,89.8216382,R850
LRPS,0,Others,Start of road from R860 at Monoharpur more.,23.1869997,90.3318882,R861
LRPSa,0.708,Culvert,Box Culvert,23.1930552,90.3337219,R861
LRP001,1.13,Km Post,"Sariatpur 02 km, Dhaka 76 km, Majhirghat 30 km",23.1964719,90.3351108,R861
LRP001a,1.435,Culvert,Start of Box Culvert,23.1989997,90.3362774,R861
LRP001b,1.456,Culvert,End of Box Culvert,23.1989997,90.3362774,R861
LRP001c,1.93,Culvert,Box Culvert,23.2026944,90.3379163,R861
LRP002,2.12,Km Post,"Majhirghat 29 km, Katal bari 34.50 km",23.2026944,90.3396941,R861
LRP002a,2.157,Culvert,Box Culvert,23.2027222,90.3400552,R861
LRP002b,2.68,Bridge,Start of Bridge,23.2053611,90.3450552,R861
LRP002c,2.788,Bridge,End of Bridge,23.2055,90.3451386,R861
LRP003,3.12,Km Post,Km post missing,23.2077778,90.3467774,R861
LRP003a,3.82,Bridge,Start of Bridge,23.2138889,90.3474441,R861
LRP003b,3.842,Bridge,End of Bridge,23.2139722,90.3474441,R861
LRP004,4.12,Km Post,Km post missing,23.2166938,90.3474163,R861
LRP004a,4.819,Bridge,Start of Bridge,23.2225827,90.3488052,R861
LRP004b,4.83,Bridge,End of Bridge,23.2227216,90.3488052,R861
LRP005,5.12,Km Post,Km post missing,23.2253327,90.3494997,R861
LRP005a,5.48,Bridge,Start of Bridge,23.2283882,90.3496386,R861
LRP005b,5.492,Bridge,End of Bridge,23.2283882,90.3493886,R861
LRP006,5.86,Km Post,"Jajira 13 km, Dhaka 71 km, Katalbari 30.5 km.",23.2318604,90.3491108,R861
LRP006a,6.37,"Side Road, Left",Left Z8065 to Mongalmajir ghat,23.2364163,90.348583,R861
LRP006b,6.39,Culvert,Box Culvert,23.2364997,90.3486663,R861
LRP006c,6.884,Culvert,Box Culvert,23.2363608,90.3536111,R861
LRPE,6.904,Others,End of road at Premtola more at Intersection of with Z 8012 and Z 8602.,23.2363608,90.3538056,R861
,,,,,,R861
,,,,,,R861
,,,,,,R861
,,,,,,R861
,,,,,,R861
"LRPs of R861 ,","LRPs of R861 ,","LRPs of R861 ,","LRPs of R861 ,","LRPs of R861 ,","LRPs of R861 ,",R861
LRP No,Road Chainage,LRP TYPE,Description,Latitude Decimal,Longitued Decimal,R861
LRPS,0,Others,Start of road from R860 at Monoharpur more.,23.1869997,90.3318882,R861
LRPSa,0.708,Culvert,Box Culvert,23.1930552,90.3337219,R861
LRP001,1.13,Km Post,"Sariatpur 02 km, Dhaka 76 km, Majhirghat 30 km",23.1964719,90.3351108,R861
LRP001a,1.435,Culvert,Start of Box Culvert,23.1989997,90.3362774,R861
LRP001b,1.456,Culvert,End of Box Culvert,23.1989997,90.3362774,R861
LRP001c,1.93,Culvert,Box Culvert,23.2026944,90.3379163,R861
LRP002,2.12,Km Post,"Majhirghat 29 km, Katal bari 34.50 km",23.2026944,90.3396941,R861
LRP002a,2.157,Culvert,Box Culvert,23.2027222,90.3400552,R861
LRP002b,2.68,Bridge,Start of Bridge,23.2053611,90.3450552,R861
LRP002c,2.788,Bridge,End of Bridge,23.2055,90.3451386,R861
LRP003,3.12,Km Post,Km post missing,23.2077778,90.3467774,R861
LRP003a,3.82,Bridge,Start of Bridge,23.2138889,90.3474441,R861
LRP003b,3.842,Bridge,End of Bridge,23.2139722,90.3474441,R861
LRP004,4.12,Km Post,Km post missing,23.2166938,90.3474163,R861
LRP004a,4.819,Bridge,Start of Bridge,23.2225827,90.3488052,R861
LRP004b,4.83,Bridge,End of Bridge,23.2227216,90.3488052,R861
LRP005,5.12,Km Post,Km post missing,23.2253327,90.3494997,R861
LRP005a,5.48,Bridge,Start of Bridge,23.2283882,90.3496386,R861
LRP005b,5.492,Bridge,End of Bridge,23.2283882,90.3493886,R861
LRP006,5.86,Km Post,"Jajira 13 km, Dhaka 71 km, Katalbari 30.5 km.",23.2318604,90.3491108,R861
LRP006a,6.37,"Side Road, Left",Left Z8065 to Mongalmajir ghat,23.2364163,90.348583,R861
LRP006b,6.39,Culvert,Box Culvert,23.2364997,90.3486663,R861
LRP006c,6.884,Culvert,Box Culvert,23.2363608,90.3536111,R861
LRPE,6.904,Others,End of road at Premtola more at Intersection of with Z 8012 and Z 8602.,23.2363608,90.3538056,R861
,,,,,,R861
,,,,,,R861
"LRPs of R861 ,","LRPs of R861 ,","LRPs of R861 ,","LRPs of R861 ,","LRPs of R861 ,","LRPs of R861 ,",R861
LRP No,Road Chainage,LRP TYPE,Description,Latitude Decimal,Longitued Decimal,R861
LRPS,0,Others,Start of road from R860 at Monoharpur more.,23.1869997,90.3318882,R861
LRPSa,0.708,Culvert,Box Culvert,23.1930552,90.3337219,R861
LRP001,1.13,Km Post,"Sariatpur 02 km, Dhaka 76 km, Majhirghat 30 km",23.1964719,90.3351108,R861
LRP001a,1.435,Culvert,Start of Box Culvert,23.1989997,90.3362774,R861
LRP001b,1.456,Culvert,End of Box Culvert,23.1989997,90.3362774,R861
LRP001c,1.93,Culvert,Box Culvert,23.2026944,90.3379163,R861
LRP002,2.12,Km Post,"Majhirghat 29 km, Katal bari 34.50 km",23.2026944,90.3396941,R861
LRP002a,2.157,Culvert,Box Culvert,23.2027222,90.3400552,R861
LRP002b,2.68,Bridge,Start of Bridge,23.2053611,90.3450552,R861
LRP002c,2.788,Bridge,End of Bridge,23.2055,90.3451386,R861
LRP003,3.12,Km Post,Km post missing,23.2077778,90.3467774,R861
LRP003a,3.82,Bridge,Start of Bridge,23.2138889,90.3474441,R861
LRP003b,3.842,Bridge,End of Bridge,23.2139722,90.3474441,R861
LRP004,4.12,Km Post,Km post missing,23.2166938,90.3474163,R861
LRP004a,4.819,Bridge,Start of Bridge,23.2225827,90.3488052,R861
LRP004b,4.83,Bridge,End of Bridge,23.2227216,90.3488052,R861
LRP005,5.12,Km Post,Km post missing,23.2253327,90.3494997,R861
LRP005a,5.48,Bridge,Start of Bridge,23.2283882,90.3496386,R861
LRP005b,5.492,Bridge,End of Bridge,23.2283882,90.3493886,R861
LRP006,5.86,Km Post,"Jajira 13 km, Dhaka 71 km, Katalbari 30.5 km.",23.2318604,90.3491108,R861
LRP006a,6.37,"Side Road, Left",Left Z8065 to Mongalmajir ghat,23.2364163,90.348583,R861
LRP006b,6.39,Culvert,Box Culvert,23.2364997,90.3486663,R861
LRP006c,6.884,Culvert,Box Culvert,23.2363608,90.3536111,R861
LRPE,6.904,Others,End of road at Premtola more at Intersection of with Z 8012 and Z 8602.,23.2363608,90.3538056,R861
LRPS,0,Others,Start of Road at Rupatoli more (Gole Chokkor) Infront of hotel Metropolition and Intersection at N8 & R870 Barisal.,22.678666,90.347083,R870
LRP001,0.73,Km Post,Jhalokati 16 km,22.6748327,90.341333,R870
LRP001a,0.922,Culvert,Box Culvert,22.6736382,90.3398608,R870
LRP002,1.677,Km Post,Jhalokati 15 km,22.6702216,90.3341941,R870
LRP002a,2.163,Culvert,Box Culvert,22.6697493,90.3295549,R870
LRP003,2.629,Km Post,Jhalokati 14 km,22.6694993,90.3250271,R870
LRP003a,3.054,Bridge,P.C Girder Bridge start,22.6698604,90.3209993,R870
LRP003b,3.193,Bridge,P.C Girder Bridge end,22.6703604,90.3197493,R870
LRP003c,3.471,Others,Start of Jhalokati RHD,22.6708604,90.3171382,R870
LRP003c,3.471,Others,Start of Jhalokati RHD,22.6708604,90.3171382,R870
LRP004,3.759,Km Post,Jhalokati 13 km,22.671166,90.3143333,R870
LRP005,4.759,Km Post,Km post missing,22.6726382,90.3045833,R870
LRP005a,4.937,Culvert,Box Culvert,22.672916,90.3029167,R870
LRP006,5.759,Km Post,Km post missing,22.6730549,90.2949441,R870
LRP007,6.719,Km Post,Jhalokati 10 km,22.673416,90.2856941,R870
LRP007a,6.891,Culvert,Box Culvert,22.6733882,90.2839719,R870
LRP007b,7.679,Bridge,R.C.C Bridge start,22.6716938,90.2766104,R870
LRP007c,7.694,Bridge,R.C.C Bridge end,22.671666,90.2764993,R870
LRP008,7.719,Km Post,Km post missing,22.6715827,90.2762493,R870
LRP008a,8.181,Culvert,Box Culvert,22.669916,90.2719993,R870
LRP009,8.707,Km Post,Jhalokati 8 km,22.6671104,90.2681104,R870
LRP009a,8.769,Culvert,Box Culvert,22.666666,90.2675549,R870
LRP009b,9.658,Culvert,Box Culvert,22.6615,90.2610833,R870
LRP009c,9.671,"Side Road, Left",Z 8709 Nalchity road,22.6614167,90.2609167,R870
LRP010,9.707,Km Post,Km post missing,22.66125,90.26075,R870
LRP010a,10.253,Culvert,Box Culvert,22.6582222,90.2563056,R870
LRP011,10.707,Km Post,Km post missing,22.6564722,90.2524444,R870
LRP011a,10.769,Culvert,Box Culvert,22.6562222,90.2518056,R870
LRP011b,11.319,Culvert,Box Culvert,22.6540556,90.2470274,R870
LRP012,11.692,Km Post,Info not clear,22.6526944,90.2436108,R870
LRP012a,12.236,Culvert,Box Culvert,22.6507778,90.2379719,R870
LRP013,12.692,Km Post,Jhalokati 4 km,22.6498608,90.2344441,R870
LRP013a,12.798,Culvert,R.C.C Culvert,22.649583,90.2333886,R870
LRP013b,13.682,Culvert,Box Culvert,22.6470552,90.2254438,R870
LRP014,13.692,Km Post,Km post missing,22.6470552,90.2254438,R870
LRP014a,13.722,Bridge,Sutalory Bridge start,22.6429719,90.2198327,R870
LRP014b,13.777,Bridge,Sutalory Bridge end,22.6429719,90.2193327,R870
LRP015,14.672,Km Post,Jhalokati 2 km,22.6429163,90.2173882,R870
LRP015a,15.053,"Turn off, Right",Left to Jhalokati town,22.6427774,90.2137222,R870
LRP016,15.658,Km Post,Km post broken,22.6479997,90.2140278,R870
LRP016a,16.371,Bridge,Baily Bridge start,22.6491108,90.2075833,R870
LRP016b,16.412,Bridge,Baily Bridge end,22.6491108,90.2071944,R870
LRP017,16.668,Km Post,Bhandaria 27 km,22.649583,90.2048056,R870
LRP017a,17.21,Culvert,Box Culvert,22.65025,90.1997774,R870
LRP017b,17.214,"Side Road, Right",Z8704 Banaripara road,22.6500833,90.1996386,R870
LRP017c,17.393,Culvert,Box Culvert,22.6505278,90.1978608,R870
LRP018,17.668,Km Post,Km post missing,22.6516389,90.1956941,R870
LRP018a,17.701,Bridge,Baily Bridge start,22.65175,90.1954163,R870
LRP018b,17.831,Bridge,Baily Bridge end,22.6523056,90.194333,R870
LRP018c,18.253,Culvert,Box Culvert,22.6528611,90.1903886,R870
LRP019,18.628,Km Post,Pirojpur 45 km,22.6515278,90.1872497,R870
LRP019a,18.668,Culvert,Box Culvert,22.6511667,90.187083,R870
LRP019b,18.682,"Side Road, Right",Z8716 Nesarbad road,22.6510556,90.1870552,R870
LRP020,19.628,Km Post,Km post missing,22.6443886,90.1845274,R870
LRP020a,19.732,Bridge,R.C.C Bridge start,22.6436941,90.1838052,R870
LRP020b,19.749,Bridge,R.C.C Bridge start,22.6436386,90.1837497,R870
LRP020c,19.874,Bridge,Gabkhan Bridge start,22.6427774,90.1829438,R870
LRP021,20.628,Km Post,Km post missing,22.6402497,90.1753882,R870
LRP021a,20.768,Bridge,Gabkhan Bridge end,22.6398052,90.1747493,R870
LRP021b,21.453,Bridge,R.C.C Bridge start,22.6350552,90.1706382,R870
LRP021c,21.468,Bridge,R.C.C Bridge end,22.6349163,90.1705827,R870
LRP022,21.658,Km Post,Rajapur 8 km,22.6335552,90.1696938,R870
LRP022a,22.526,Culvert,Box Culvert,22.6268049,90.1657222,R870
LRP023,22.658,Km Post,Rajapur 7 km,22.625666,90.1652778,R870
LRP023a,23.099,"Side Road, Right",Z 8703 Kawkhali road,22.6219438,90.164,R870
LRP023b,23.1,Bridge,R.C.C Bridge start,22.622166,90.164,R870
LRP023c,23.115,Bridge,R.C.C Bridge end,22.6218049,90.164,R870
LRP024,23.673,Km Post,Pirojpur 40 km,22.6168882,90.1633889,R870
LRP024a,23.721,Culvert,Box Culvert,22.6163889,90.1633333,R870
LRP024b,24.101,Culvert,Box Culvert,22.613,90.1631111,R870
LRP025,24.638,Km Post,Bhandaria 17 km,22.6082778,90.16275,R870
LRP025a,24.98,Culvert,Box Culvert,22.6051111,90.1625,R870
LRP026,25.698,Km Post,Rajapur 4 km,22.599333,90.1599167,R870
LRP026a,26.202,Culvert,Box Culvert,22.5951941,90.1578333,R870
LRP027,26.718,Km Post,Rajapur 3 km,22.5910552,90.1555278,R870
LRP027a,27.094,Culvert,Box culvert,22.5884997,90.1530556,R870
LRP028,27.718,Km Post,Rajapur 2 km,22.5847219,90.1486386,R870
LRP029,28.728,Km Post,Rajapur 1 km,22.5768882,90.1441108,R870
LRP029a,29.116,Culvert,Box Culvert,22.5734993,90.1431386,R870
LRP030,29.728,Km Post,Km post missing,22.5711938,90.1377774,R870
LRP030a,29.742,Bridge,Bridge start,22.571166,90.1376663,R870
LRP030b,29.758,Bridge,Bridge end,22.5711104,90.1375552,R870
LRP030c,29.935,"Side Road, Right",Z 8702 Bekuti ferry ghat,22.5705271,90.1360274,R870
LRP030d,30.016,Bridge,R.C.C Bridge start,22.5698327,90.1360552,R870
LRP030e,30.032,Bridge,R.C.C Bridge end,22.569666,90.1360552,R870
LRP031,30.728,Km Post,Bhandria 13 km,22.5670271,90.1407497,R870
LRP031a,30.89,Culvert,Box Culvert,22.5671938,90.142333,R870
LRP031b,31.083,"Side Road, Left",Z8708 Amua Road,22.5666389,90.1436941,R870
LRP031c,31.194,Culvert,Box Culvert,22.5658889,90.1429719,R870
LRP032,31.778,Km Post,Bhandaria 12 km,22.5619444,90.1399997,R870
LRP032a,31.942,Culvert,Box Culvert,22.5602778,90.1387774,R870
LRP032b,32.596,Culvert,Box Culvert,22.5563889,90.134083,R870
LRP033,32.703,Km Post,Pirojpur 31 km,22.5557222,90.1332216,R870
LRP033a,33.403,Culvert,Box Culvert,22.5510833,90.1287216,R870
LRP034,33.718,Km Post,Pirojpur 30 km,22.5487774,90.1270549,R870
LRP034a,33.806,Bridge,Bridge start,22.5481663,90.1264993,R870
LRP034b,33.822,Bridge,Bridge end,22.5480274,90.1264438,R870
LRP034c,34.086,Culvert,Box Culvert,22.5461663,90.1248882,R870
LRP034d,34.524,Culvert,Box Culvert,22.5431941,90.1220549,R870
LRP035,34.708,Km Post,Pirojpur 29 km,22.5420274,90.120916,R870
LRP035a,34.738,Culvert,Box Culvert,22.5417219,90.1206104,R870
LRP036,35.728,Km Post,Bhundaria 9 km,22.5358886,90.1146111,R870
LRP036a,36.592,Bridge,R.c.c Bridge start,22.5283604,90.1129444,R870
LRP036b,36.604,Bridge,R.c.c Bridge end,22.5282493,90.1129167,R870
LRP037,36.728,Km Post,Pirojpur 26 km,22.5271382,90.1126389,R870
LRP037a,37.183,Culvert,Box Culvert,22.5234993,90.1107778,R870
LRP037b,37.66,Culvert,Box Culvert,22.5195271,90.1091667,R870
LRP038,37.703,Km Post,Bhandaria 6 km,22.5191938,90.1089444,R870
LRP038a,38.123,Bridge,R.c.c Bridge start,22.5158611,90.10725,R870
LRP038b,38.136,Bridge,R.c.c Bridge end,22.51575,90.1072778,R870
LRP038c,38.363,Culvert,Box Culvert,22.514,90.1065556,R870
LRP039,38.718,Km Post,Pirojpur 25 km,22.5113611,90.1046389,R870
LRP039a,39.061,Bridge,R.C.C Bridge start,22.5085,90.1035556,R870
LRP039b,39.097,Bridge,R.C.C Bridge end,22.5081944,90.1034722,R870
LRP039c,39.47,Culvert,Box Culvert,22.50625,90.1008889,R870
LRP039d,39.591,Culvert,Box Culvert,22.5059722,90.0998052,R870
LRP040,39.714,Km Post,Bhandaria 4 km,22.5054167,90.098833,R870
LRP040a,39.849,Culvert,Box Culvert,22.5047222,90.0976108,R870
LRP040b,40.353,Culvert,Box Culvert,22.5021667,90.0936386,R870
LRP041,40.714,Km Post,Pirojpur 23 km,22.5003611,90.0908608,R870
LRP041a,40.772,Bridge,R.C.C Bridge start,22.5000556,90.0903886,R870
LRP041b,40.815,Bridge,R.C.C Bridge end,22.4998886,90.090083,R870
LRP041c,41.384,Culvert,Box Culvert,22.4976386,90.0850552,R870
LRP042,41.714,Km Post,Bhandaria 2 km,22.4963608,90.0820827,R870
LRP042a,41.752,Culvert,Box Culvert,22.4962219,90.0817493,R870
LRP042b,41.984,Culvert,Box Culvert,22.4957219,90.0795549,R870
LRP042c,42.282,Others,Start of Pirojpur RHD,22.4946663,90.0768882,R870
LRP042c,42.282,Others,Start of Pirojpur RHD,22.4946663,90.0768882,R870
LRP042d,42.586,Culvert,Box Culvert,22.493583,90.0741938,R870
LRP043,42.684,Km Post,Bhandaria 1 km,22.4932497,90.0733327,R870
LRP043a,43.399,"Side Road, Left",Side road left,22.4888052,90.0685827,R870
LRP044,43.674,Km Post,Pirojpur 20 km,22.486833,90.0670827,R870
LRP044a,43.689,Culvert,Box Culvert,22.4866941,90.0669716,R870
LRP044b,43.972,"Side Road, Left",Z8705 kathalia road,22.4844997,90.0656944,R870
LRP044c,44.544,"Side Road, Right",Z 8711,22.4866386,90.0606667,R870
LRP044d,44.554,Bridge,Baily Bridge start,22.4866386,90.0606667,R870
LRP044e,44.717,Bridge,Baily Bridge end,22.487333,90.0592778,R870
LRP045,44.817,Km Post,Pirojpur 19 km,22.4873886,90.0584444,R870
LRP045a,45.987,Culvert,Box Culvert,22.4850552,90.0555833,R870
LRP046,45.989,Km Post,Pirojpur 18 km,22.4855274,90.0518889,R870
LRP046a,46.006,Culvert,Box Culvert,22.4861386,90.0487774,R870
LRP046b,46.509,Culvert,Box Culvert,22.4871386,90.0439997,R870
LRP047,46.674,Km Post,Pirojpur 17 km,22.4874719,90.0424997,R870
LRP047a,46.794,Culvert,Box Culvert,22.4878052,90.0412497,R870
LRP047b,47.169,Culvert,Box Culvert,22.4884441,90.0377219,R870
LRP048,47.634,Km Post,Pirojpur 16 km,22.4889997,90.0333049,R870
LRP048a,48.06,Culvert,Box Culvert,22.4891941,90.0291104,R870
LRP049,48.634,Km Post,Pirojpur 15 km,22.4896941,90.023666,R870
LRP049a,48.999,Bridge,R.C.C Bridge start,22.4887219,90.0202493,R870
LRP049b,49.057,Bridge,R.C.C Bridge end,22.4887219,90.0196938,R870
LRP050,49.694,Km Post,Pirojpur 14 km,22.4894997,90.0136667,R870
LRP050a,49.91,Culvert,Box culvert,22.4896386,90.0115556,R870
LRP050b,50.62,Culvert,R.C.C Culvert,22.4886663,90.0046667,R870
LRP051,50.694,Km Post,Pirojpur 13 km,22.4886663,90.0040833,R870
LRP051a,50.838,Culvert,Box Culvert,22.4888052,90.0026667,R870
LRP051b,51.05,Culvert,Box Culvert,22.4889441,90.0005278,R870
LRP051c,51.261,Culvert,Box Culvert,22.4891941,90.998583,R870
LRP051d,51.524,"Side Road, Left",Z 8701 Patharghata road,22.4892497,89.996083,R870
LRP052,51.694,Km Post,Km post missing,22.4901663,89.9945274,R870
LRP052a,52.068,Others,Charkhali ferry ghat start,22.492333,89.9920274,R870
LRP053,52.694,Km Post,Km post missing,0,0,R870
LRP053a,53.268,Others,Charkhali ferry ghat end,22.4985552,89.9812493,R870
LRP054,53.788,Km Post,Pirojpur 12 km,22.5004167,89.9797493,R870
LRP054a,53.911,"Side Road, Left",Z 7711,22.50125,89.9790549,R870
LRP055,54.3,Km Post,Pirojpur 11 km,22.5038333,89.9815271,R870
LRP055a,54.695,Bridge,Bridge start,22.5063611,89.984083,R870
LRP055b,54.709,Bridge,Bridge end,22.5064444,89.984083,R870
LRP056,55.29,Km Post,Pirojpur 10 km,22.5084722,89.9888886,R870
LRP056a,55.814,Culvert,Box Culvert,22.5118611,89.9920274,R870
LRP057,56.29,Km Post,Pirojpur 9 km,22.5155278,89.9942497,R870
LRP057a,56.689,Bridge,Baily Bridge start,22.5190827,89.9947497,R870
LRP057b,56.715,Bridge,Baily Bridge end,22.5193327,89.9948608,R870
LRP057c,57.05,Culvert,Box Culvert,22.5222493,89.9957497,R870
LRP058,57.25,Km Post,Pirojpur 8 km,22.5239716,89.9958608,R870
LRP059,58.33,Km Post,Pirojpur 7 km,22.5321382,89.9903886,R870
LRP059a,58.498,Culvert,Box Culvert,22.5337219,89.990083,R870
LRP060,59.26,Km Post,Pirojpur 6 km,22.5401941,89.9882497,R870
LRP060a,59.334,Culvert,Box Culvert,22.540833,89.9879719,R870
LRP060b,60.115,Culvert,Box Culvert,22.5464441,89.9836108,R870
LRP061,60.26,Km Post,Pirojpur 5 km,22.5473052,89.9826382,R870
LRP061a,60.498,Bridge,R.C.C Bridge start,22.5482219,89.980916,R870
LRP061b,60.532,Bridge,R.C.C Bridge end,22.5489997,89.9807771,R870
LRP062,61.26,Km Post,Pirojpur 4 km,22.5543056,89.9766104,R870
LRP062a,61.535,Bridge,Bridge start,22.5562222,89.9749438,R870
LRP062b,61.55,Bridge,Bridge end,22.5563056,89.9748882,R870
LRP062c,61.76,Culvert,Box Culvert,22.5574722,89.9732216,R870
LRP063,62.26,Km Post,Pirojpur 3 km,22.5618611,89.9722216,R870
LRP063a,62.295,Culvert,Box Culvert,22.5622222,89.9721104,R870
LRP063b,62.687,Bridge,Bridge start,22.5656111,89.9713049,R870
LRP063c,62.7,Bridge,Bridge end,22.5657222,89.9713049,R870
LRP064,62.972,Km Post,Pirojpur 2 km,22.568166,89.9716104,R870
LRP064a,63.257,Cross Road,R770,22.5706938,89.9714993,R870
LRP064b,63.734,Culvert,Box Culvert,22.5748604,89.9725827,R870
LRP065,63.972,Km Post,Km post missing,22.5770549,89.9727216,R870
LRP065a,64.192,Culvert,Box Culvert,22.5790827,89.9728882,R870
LRPE,64.252,Others,End at Patherhat more Infront of Masum Bread & Beside Mike Farmacy and Crosing Z7709 Pirojpur.,22.5794993,89.972916,R870
,,,,,,R870
,,,,,,R870
,,,,,,R870
,,,,,,R870
,,,,,,R870
"LRPs of R870 ,","LRPs of R870 ,","LRPs of R870 ,","LRPs of R870 ,","LRPs of R870 ,","LRPs of R870 ,",R870
LRP No,Road Chainage,LRP TYPE,Description,Latitude Decimal,Longitued Decimal,R870
